qid,arm,root,root_files,root_bytes,repeat,total_tokens,in_tokens,out_tokens,retrieval_tokens,tool_calls,latency_ms,correct,recall
all_deploy_docs,ais,(index),0,0,0,3137,2651,486,198,2,10494.6,True,1.0
all_deploy_docs,ais,(index),0,0,1,3213,2711,502,198,2,9111.5,True,1.0
all_deploy_docs,ais,(index),0,0,2,3221,2712,509,198,2,10240.6,True,1.0
all_deploy_docs,ais,(index),0,0,3,3205,2711,494,198,2,8515.4,True,1.0
all_deploy_docs,ais,(index),0,0,4,3124,2651,473,198,2,8587.2,True,1.0
all_deploy_docs,search,kul,1342,347741804,0,34172,32060,2112,19116,22,37725.1,True,1.0
all_deploy_docs,search,kul,1342,347741804,1,7768,6873,895,1737,3,15522.5,True,1.0
all_deploy_docs,search,kul,1342,347741804,2,7777,6917,860,1757,3,14333.8,True,1.0
all_deploy_docs,search,kul,1342,347741804,3,34168,32057,2111,19116,22,40553.0,True,1.0
all_deploy_docs,search,kul,1342,347741804,4,34172,32060,2112,19116,22,46857.0,True,1.0
deploy_to_dev,ais,(index),0,0,0,2635,2470,165,40,2,5941.4,True,1.0
deploy_to_dev,ais,(index),0,0,1,2654,2470,184,40,2,6081.4,True,1.0
deploy_to_dev,ais,(index),0,0,2,2634,2470,164,40,2,5424.1,True,1.0
deploy_to_dev,ais,(index),0,0,3,2634,2470,164,40,2,5222.3,True,1.0
deploy_to_dev,ais,(index),0,0,4,2616,2470,146,40,2,4590.9,True,1.0
deploy_to_dev,search,kul,1342,347741804,0,10222,9264,958,2818,4,17015.1,True,1.0
deploy_to_dev,search,kul,1342,347741804,1,10152,9264,888,2818,4,16252.3,True,1.0
deploy_to_dev,search,kul,1342,347741804,2,10720,10064,656,3488,4,14672.5,True,1.0
deploy_to_dev,search,kul,1342,347741804,3,9894,9437,457,3117,4,13198.4,False,0.0
deploy_to_dev,search,kul,1342,347741804,4,9875,9438,437,3117,4,13618.4,False,0.0
release_runbook,ais,(index),0,0,0,2652,2493,159,52,2,5336.3,True,1.0
release_runbook,ais,(index),0,0,1,2649,2491,158,52,2,5426.6,True,1.0
release_runbook,ais,(index),0,0,2,2692,2500,192,52,2,6554.7,True,1.0
release_runbook,ais,(index),0,0,3,2652,2493,159,52,2,4914.1,True,1.0
release_runbook,ais,(index),0,0,4,2668,2491,177,52,2,7067.1,True,1.0
release_runbook,search,kul,1342,347741804,0,1785,1653,132,11,2,3891.4,True,1.0
release_runbook,search,kul,1342,347741804,1,3053,2830,223,98,4,6352.2,True,1.0
release_runbook,search,kul,1342,347741804,2,1785,1653,132,11,2,3373.4,True,1.0
release_runbook,search,kul,1342,347741804,3,1785,1653,132,11,2,3416.2,True,1.0
